author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,summer,1991-2003,WAP,DW (mg):Length (mm),exponential regression (Y=aX^b),constant,19,larvae,0.0027,TRUE,0.68,,egg & larval development,"Review takes data from: Huntley and Brinton 1991, Meyer et al. 2003",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,autumn,2004-2009,"WAP, Lazarev Sea",DW (mg):Length (mm),exponential regression (Y=aX^b),exponent,24,larvae,1.93,TRUE,0.71,,egg & larval development,"Review takes data from: Daly 2004, Pakhomov et al. 2004, Meyer et al. 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,autumn,2004-2009,"WAP, Lazarev Sea",DW (mg):Length (mm),exponential regression (Y=aX^b),constant,24,larvae,0.0123,TRUE,0.71,,egg & larval development,"Review takes data from: Daly 2004, Pakhomov et al. 2004, Meyer et al. 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,winter,2004-2009,"WAP, Lazarev Sea",DW (mg):Length (mm),exponential regression (Y=aX^b),exponent,14,larvae,2.84,TRUE,0.91,,egg & larval development,"Review takes data from: Daly 2004, Meyer et al. 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,winter,2004-2009,"WAP, Lazarev Sea",DW (mg):Length (mm),exponential regression (Y=aX^b),constant,14,larvae,0.0013,TRUE,0.91,,egg & larval development,"Review takes data from: Daly 2004, Meyer et al. 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,"summer, autumn, winter",1999-2004,"WAP, Lazarev Sea",Daily ration (% of body C d^-1) on food (ug L^-1),linear regression (Y = a + bX),slope,,larvae,0.071,TRUE,0.62,,build-up of body reserves,"Review takes data from: Meyer et al. 2002a, 2003, 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,"summer, autumn, winter",1999-2004,"WAP, Lazarev Sea",Daily ration (% of body C d^-1) on food (ug L^-1),linear regression (Y = a + bX),intercept,,larvae,0,TRUE,0.62,,build-up of body reserves,"Review takes data from: Meyer et al. 2002a, 2003, 2009",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,"autumn, winter",1991-2009,"WAP, Lazarev Sea",Growth (% IMP^-1) on food (Chla ug L^-1),nonlinear regression Y = a X/(b + X),a,25,larvae,18,,0.68,,egg & larval development,"Review takes data from: Ross and Quetin 1991, Daly 2004, Pakhomov et al. 2004, Ross et al. 2004, Meyer et al. 2009,",,,ID43,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,"autumn, winter",1991-2009,"WAP, Lazarev Sea",Growth (% IMP^-1) on food (Chla ug L^-1),nonlinear regression Y = a X/(b + X),b,25,larvae,3.01,,0.68,,egg & larval development,"Review takes data from: Ross and Quetin 1991, Daly 2004, Pakhomov et al. 2004, Ross et al. 2004, Meyer et al. 2009,",,,ID43,"parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,"Mortality, % per 12 weeks",12 weeks starvation experiment,%,225,adult,7.6,,,,body reserves,starved,,,ID114,"parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,"Mortality, % per 12 weeks",12 weeks starvation experiment,%,81,adult,6.2,,,,body reserves,fed,,,ID114,"parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Inter-moult periods (IMP),12 weeks starvation experiment,days,225,adult,28.6,,,,body reserves,starved,,,"ID23, ID24, ID22","parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Inter-moult periods (IMP),12 weeks starvation experiment,days,81,adult,27.1,,,,body reserves,fed,,,"ID23, ID24, ID22","parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Wet weight,12 weeks starvation experiment,ug,306,adult,491,,,141,body reserves,initial,,,"ID1, ID2, ID3","parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Wet weight,12 weeks starvation experiment,ug,225,adult,236,,,31,body reserves,staved,,,"ID1, ID2, ID3","parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Wet weight,12 weeks starvation experiment,ug,81,adult,323,,,32,body reserves,fed,,,"ID1, ID2, ID3","parameter, validation",
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Length,12 weeks starvation experiment,mm,306,adult,40.1,,,3.7,body reserves,initial,,,-,validation,
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Length,12 weeks starvation experiment,mm,225,adult,32.8,,,,body reserves,starved (18 % reduction in size),,,-,validation,
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,,2005-2006,Lab experiment,Length,12 weeks starvation experiment,mm,81,adult,35.2,,,,body reserves,fed (12 % reduction in size),,,-,validation,
Bergstrom et al. (1990),"spring distribution, size composition and behaviour of krill euphausia superba in the western weddell sea",observation,months,spring,1986,north-western Weddell Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,build up of body reserves,"The authors found large numbers of subadult and adult krill as far as 350km into the closed pack ice zone. These krill were seen to be feeding based on their green guts. The authors were unable to quantify the densities/abundances of krill. Some krill sampled from the water column  had empty guts and no planktonic algae was observed witin the water column. Krill within ice covered waters were associated with sea ice and aggregated in areas of high ice algae abundance, particularly in pressure zones or where first year ice was melting, and hollows and crevices. In twilight more krill were found in the water column, suggesting movement between patches. Authors found krill starting form swarms in early spring suggesting a change to pelagic feeding. ",,,-,-,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,8,adult,9.8,NA,NA,2.6,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,19,adult,11.4,NA,NA,4.5,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,14,adult,18.9,NA,NA,7.8,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,7,adult,16.6,NA,NA,7.9,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,18,adult,9.7,NA,NA,4.1,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,21,adult,20.6,NA,NA,4.9,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,12,adult,11.6,NA,NA,6.6,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,15,adult,23,NA,NA,8.9,build up of body reserves,,,,ID3,"parameter, validation",
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,krill length,Isaacs-Kidd midwater trawl,mm,7,adult,52.5,NA,NA,2.7,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,krill length,Isaacs-Kidd midwater trawl,mm,18,adult,46.4,NA,NA,4.6,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,krill length,Isaacs-Kidd midwater trawl,mm,21,adult,45.8,NA,NA,5.4,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,krill length,Isaacs-Kidd midwater trawl,mm,12,adult,42,NA,NA,8.9,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,krill length,Isaacs-Kidd midwater trawl,mm,15,adult,32.4,NA,NA,7.1,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,10,adult,1.05,NA,NA,0.09,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,19,adult,1.39,NA,NA,0.34,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,14,adult,1.26,NA,NA,0.2,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,7,adult,1.1,NA,NA,0.07,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,19,adult,1.36,NA,NA,0.33,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,34,adult,1.44,NA,NA,0.2,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,14,adult,1.31,NA,NA,0.51,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,EPA/DHA,Isaacs-Kidd midwater trawl,NA,15,adult,1.49,NA,NA,0.33,build up of body reserves,,,,-,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,10,adult,6.01,NA,NA,1.19,build up of body reserves,,,,ID3,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,19,adult,5.36,NA,NA,1.1,build up of body reserves,,,,ID3,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,14,adult,6.42,NA,NA,1.6,build up of body reserves,,,,ID3,validation,
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,7,adult,7.12,NA,NA,1.06,build up of body reserves,,,,ID3,validation,
